city,title,language,time,money
Київ,Architect,C# / .NET,10р,8500
Київ,Tech Lead,TypeScript,7р,8500
Київ,Senior,JavaScript,10р,8500
Київ,Team Lead,Python,10р,8500
Київ,Senior,JavaScript,7р,8500
Київ,Senior,JavaScript,5р,8500
Київ,Architect,Java,10р,8500
Київ,Architect,C# / .NET,10р,8500
Київ,Senior,JavaScript,7р,8500
Київ,Senior,Go,10р,8500
Київ,Team Lead,Scala,7р,8500
Львів,Senior,JavaScript,8р,8500
Київ,Tech Lead,Java,10р,8500
Київ,Junior,Kotlin,"0,5р",850
Луцьк,Junior,PHP,"0,5р",850
Дніпро,Junior,TypeScript,"1,5р",850
Львів,Junior,C++,"1,5р",850
Львів,Junior,C# / .NET,"1,5р",850
Київ,Junior,C++,1р,850
Київ,Junior,PHP,2р,850
Харків,Junior,TypeScript,"0,25р",850
Львів,Junior,Dart,"1,5р",850
Львів,Junior,JavaScript,3р,850
Вінниця,Junior,1С,6р,850
Запоріжжя,Junior,JavaScript,2р,850
Полтава,Middle,PHP,10р,850
Тернопіль,Junior,C# / .NET,"1,5р",850
Одеса,Senior,C# / .NET,7р,8422
Київ,Senior,JavaScript,9р,8400
Вінниця,Architect,C# / .NET,10р,8400
Львів,Tech Lead,Java,9р,8400
Київ,Tech Lead,Swift,10р,8400
Київ,Senior,JavaScript,10р,8375
Київ,Senior,JavaScript,9р,8360
Київ,Senior,Ruby,10р,8312
Львів,Senior,TypeScript,6р,8300
Київ,Team Lead,PHP,10р,8300
Хмельницький,Middle,JavaScript,6р,828
Київ,Team Lead,JavaScript,10р,8250
Харків,Senior,TypeScript,4р,8200
Харків,Senior,Java,5р,8200
Київ,Senior,Go,10р,8200
Київ,Junior,Java,3р,820
Львів,Junior,C# / .NET,"0,5р",815
Інше,Junior,C# / .NET,"1,5р",810
Харків,Senior,Swift,7р,8050
Київ,Senior,Python,10р,8050
Київ,Senior,Java,10р,8000
Київ,Senior,TypeScript,3р,8000
Одеса,Senior,Ruby,10р,8000
Київ,Senior,Kotlin,5р,8000
Чернівці,Senior,Python,6р,8000
Дніпро,Architect,PHP,9р,8000
Одеса,Senior,PHP,10р,8000
Київ,Senior,Dart,9р,8000
Вінниця,Senior,TypeScript,10р,8000
Київ,Tech Lead,Go,10р,8000
Запоріжжя,Tech Lead,TypeScript,5р,8000
Одеса,Senior,Kotlin,6р,8000
Львів,Senior,JavaScript,6р,8000
Одеса,Architect,JavaScript,10р,8000
Київ,Senior,Go,10р,8000
Київ,Tech Lead,Java,7р,8000
Вінниця,Tech Lead,TypeScript,8р,8000
Київ,Senior,Java,8р,8000
Одеса,Architect,C# / .NET,10р,8000
Львів,Architect,Ruby,10р,8000
Дніпро,Team Lead,PHP,10р,8000
Київ,Senior,JavaScript,8р,8000
Київ,Architect,C# / .NET,10р,8000
Інше,Tech Lead,Java,6р,8000
Харків,Tech Lead,Swift,10р,8000
Київ,Senior,Python,10р,8000
Київ,Senior,Kotlin,8р,8000
Харків,Senior,Ruby,8р,8000
Київ,Team Lead,C++,10р,8000
Львів,Team Lead,TypeScript,7р,8000
Київ,Senior,JavaScript,8р,8000
Київ,Senior,Java,10р,8000
Харків,Tech Lead,Java,8р,8000
Київ,Senior,Elixir,7р,8000
Київ,Senior,C++,10р,8000
Київ,Senior,Java,10р,8000
Київ,Architect,JavaScript,10р,8000
Одеса,Architect,TypeScript,10р,8000
Київ,Architect,Scala,10р,8000
Київ,Senior,Java,6р,8000
Київ,Senior,C# / .NET,10р,8000
Київ,Tech Lead,Java,10р,8000
Харків,Tech Lead,C# / .NET,5р,8000
Київ,Team Lead,Clojure,10р,8000
Київ,Senior,Go,5р,8000
Львів,Tech Lead,TypeScript,10р,8000
Київ,Architect,C# / .NET,10р,8000
Київ,Tech Lead,TypeScript,8р,8000
Харків,Senior,C# / .NET,8р,8000
Київ,Tech Lead,JavaScript,10р,8000
Одеса,Senior,JavaScript,6р,8000
Рівне,Tech Lead,C# / .NET,10р,8000
Київ,Tech Lead,TypeScript,10р,8000
Львів,Tech Lead,Java,10р,8000
Харків,Architect,Go,10р,8000
Харків,Senior,Python,7р,8000
Київ,Architect,Java,10р,8000
Київ,Tech Lead,C# / .NET,10р,8000
Київ,Senior,Clojure,10р,8000
Вінниця,Architect,Ruby,9р,8000
Київ,Senior,C++,10р,8000
Харків,Architect,PHP,10р,8000
Київ,Team Lead,Python,6р,8000
Київ,Senior,Java,10р,8000
Вінниця,Tech Lead,JavaScript,10р,8000
Суми,Senior,C++,10р,8000
Харків,Tech Lead,Ruby,10р,8000
Київ,Team Lead,PHP,10р,8000
Львів,Tech Lead,Java,10р,8000
Київ,Senior,JavaScript,8р,8000
Одеса,Architect,Kotlin,10р,8000
Київ,Junior,JavaScript,1р,800
Київ,Junior,JavaScript,"0,5р",800
Кривий Ріг,Junior,JavaScript,"1,5р",800
Харків,Junior,Java,"0,25р",800
Харків,Junior,Java,"0,5р",800
Київ,Junior,C,"0,25р",800
Одеса,Junior,C# / .NET,"1,5р",800
Київ,Junior,TypeScript,"0,5р",800
Чернівці,Junior,Java,"0,5р",800
Івано-Франківськ,Junior,JavaScript,"1,5р",800
Кривий Ріг,Junior,Java,10р,800
Одеса,Junior,Java,"0,5р",800
Вінниця,Junior,TypeScript,1р,800
Одеса,Junior,C# / .NET,3р,800
Львів,Junior,Java,1р,800
Харків,Junior,JavaScript,1р,800
Харків,Junior,Dart,"0,5р",800
Миколаїв,Junior,PHP,2р,800
Львів,Intern/Trainee,C++,1р,800
Київ,Junior,PHP,2р,800
Львів,Junior,Dart,1р,800
Чернівці,Junior,JavaScript,1р,800
Харків,Junior,PHP,"1,5р",800
Чернівці,Junior,Python,1р,800
Рівне,Junior,TypeScript,"0,5р",800
Київ,Middle,C# / .NET,"0,5р",800
Львів,Junior,Python,1р,800
Київ,Middle,Python,2р,800
Львів,Junior,Python,"0,5р",800
Львів,Junior,Python,1р,800
Інше,Junior,Java,1р,800
Дніпро,Junior,JavaScript,1р,800
Миколаїв,Middle,JavaScript,1р,800
Харків,Junior,Java,1р,800
Черкаси,Junior,Kotlin,"0,5р",800
Львів,Junior,Java,1р,800
Чернівці,Junior,TypeScript,"0,5р",800
Одеса,Junior,Python,1р,800
Харків,Junior,JavaScript,"1,5р",800
Київ,Junior,C# / .NET,1р,800
Одеса,Middle,JavaScript,2р,800
Київ,Junior,Java,"0,5р",800
Харків,Junior,TypeScript,1р,800
Дніпро,Junior,Java,"0,5р",800
Київ,Intern/Trainee,JavaScript,"0,5р",800
Полтава,Junior,JavaScript,1р,800
Одеса,Junior,TypeScript,"0,5р",800
Київ,Junior,Python,2р,800
